
feature: portoveral	DF[0]:0	DF[1]:0	DF[2]:3	DF[3]:4	DF[4]:2	TTF[0]:0	TTF[1]:0	TTF[2]:3	TTF[3]:4	TTF[4]:2
feature: kocaso	DF[0]:4	DF[1]:2	DF[2]:0	DF[3]:0	DF[4]:3	TTF[0]:7	TTF[1]:2	TTF[2]:0	TTF[3]:0	TTF[4]:5
feature: itemit	DF[0]:2	DF[1]:4	DF[2]:0	DF[3]:0	DF[4]:3	TTF[0]:2	TTF[1]:4	TTF[2]:0	TTF[3]:0	TTF[4]:3
feature: kd	DF[0]:4	DF[1]:0	DF[2]:3	DF[3]:0	DF[4]:2	TTF[0]:4	TTF[1]:0	TTF[2]:6	TTF[3]:0	TTF[4]:2
feature: outofbox	DF[0]:0	DF[1]:2	DF[2]:4	DF[3]:0	DF[4]:3	TTF[0]:0	TTF[1]:2	TTF[2]:4	TTF[3]:0	TTF[4]:3
feature: violat	DF[0]:3	DF[1]:0	DF[2]:4	DF[3]:0	DF[4]:2	TTF[0]:3	TTF[1]:0	TTF[2]:4	TTF[3]:0	TTF[4]:2
feature: rake	DF[0]:0	DF[1]:4	DF[2]:3	DF[3]:0	DF[4]:2	TTF[0]:0	TTF[1]:4	TTF[2]:3	TTF[3]:0	TTF[4]:2
feature: spacious	DF[0]:0	DF[1]:4	DF[2]:2	DF[3]:3	DF[4]:0	TTF[0]:0	TTF[1]:10	TTF[2]:2	TTF[3]:3	TTF[4]:0
feature: refundth	DF[0]:4	DF[1]:2	DF[2]:3	DF[3]:0	DF[4]:0	TTF[0]:4	TTF[1]:2	TTF[2]:3	TTF[3]:0	TTF[4]:0
feature: irat	DF[0]:4	DF[1]:3	DF[2]:2	DF[3]:0	DF[4]:0	TTF[0]:4	TTF[1]:3	TTF[2]:2	TTF[3]:0	TTF[4]:0
feature: foul	DF[0]:4	DF[1]:0	DF[2]:0	DF[3]:7	DF[4]:4	TTF[0]:4	TTF[1]:0	TTF[2]:0	TTF[3]:7	TTF[4]:4
feature: leg	DF[0]:7	DF[1]:4	DF[2]:6	DF[3]:39	DF[4]:81	TTF[0]:7	TTF[1]:4	TTF[2]:6	TTF[3]:40	TTF[4]:86
feature: fullsiz	DF[0]:11	DF[1]:6	DF[2]:22	DF[3]:66	DF[4]:167	TTF[0]:11	TTF[1]:6	TTF[2]:26	TTF[3]:82	TTF[4]:222
feature: punctuat	DF[0]:0	DF[1]:3	DF[2]:2	DF[3]:17	DF[4]:19	TTF[0]:0	TTF[1]:4	TTF[2]:2	TTF[3]:17	TTF[4]:19
feature: 165	DF[0]:7	DF[1]:0	DF[2]:0	DF[3]:4	DF[4]:8	TTF[0]:11	TTF[1]:0	TTF[2]:0	TTF[3]:4	TTF[4]:8
feature: softwareth	DF[0]:0	DF[1]:0	DF[2]:7	DF[3]:4	DF[4]:8	TTF[0]:0	TTF[1]:0	TTF[2]:7	TTF[3]:4	TTF[4]:8
feature: residu	DF[0]:0	DF[1]:2	DF[2]:2	DF[3]:9	DF[4]:16	TTF[0]:0	TTF[1]:2	TTF[2]:2	TTF[3]:9	TTF[4]:16
feature: phd	DF[0]:8	DF[1]:0	DF[2]:4	DF[3]:0	DF[4]:7	TTF[0]:9	TTF[1]:0	TTF[2]:4	TTF[3]:0	TTF[4]:7
feature: nextbook	DF[0]:13	DF[1]:1	DF[2]:2	DF[3]:5	DF[4]:33	TTF[0]:26	TTF[1]:1	TTF[2]:3	TTF[3]:6	TTF[4]:39
feature: copypast	DF[0]:1	DF[1]:1	DF[2]:8	DF[3]:5	DF[4]:25	TTF[0]:3	TTF[1]:2	TTF[2]:12	TTF[3]:6	TTF[4]:25
feature: maxthon	DF[0]:0	DF[1]:1	DF[2]:3	DF[3]:5	DF[4]:13	TTF[0]:0	TTF[1]:2	TTF[2]:3	TTF[3]:8	TTF[4]:21
feature: grrr	DF[0]:5	DF[1]:1	DF[2]:3	DF[3]:0	DF[4]:13	TTF[0]:5	TTF[1]:1	TTF[2]:3	TTF[3]:0	TTF[4]:13
feature: rightth	DF[0]:1	DF[1]:0	DF[2]:2	DF[3]:5	DF[4]:11	TTF[0]:1	TTF[1]:0	TTF[2]:2	TTF[3]:5	TTF[4]:11
